serial	tag_date	fpc	domain	datetime	channel	tag	tag_freq	origin	orgin_desc	created_at	updated_at
NULL	2021-12-17	c66ed9177717dda2bd9b72664fcf273f-_KQFS630XCHETY	NULL	2021-12-16 14:47:16	web	續保	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	c66ed9177717dda2bd9b72664fcf273f-_KQFS630XCHETY	NULL	2021-12-16 14:47:16	web	續保登入	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d18414cb9a96c9c7aa37329da8dc14a0-_KORY9NWBF0OEN	NULL	2021-12-16 23:53:34	web	保單服務	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d18414cb9a96c9c7aa37329da8dc14a0-_KORY9NWBF0OEN	NULL	2021-12-16 23:53:34	web	其他服務	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d372520e491649408460391404854cfe-_KX943C9MASYNK	NULL	2021-12-16 23:29:41	web	1111新安勝利心安險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d372520e491649408460391404854cfe-_KX943C9MASYNK	NULL	2021-12-16 23:22:48	web	歷史事件	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d372520e491649408460391404854cfe-_KX943C9MASYNK	NULL	2021-12-16 23:29:41	web	歷史事件-事件回顧	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d372520e491649408460391404854cfe-_KX943C9MASYNK	NULL	2021-12-16 23:29:28	web	活動說明	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	d372520e491649408460391404854cfe-_KX943C9MASYNK	NULL	2021-12-16 23:30:32	web	現實事件保障	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	e1a55ab802d22056e6959601e18fc93b-_KX88RAJJIHW9I	NULL	2021-12-16 08:48:07	web	全境酷寒結凍險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	e1a55ab802d22056e6959601e18fc93b-_KX88RAJJIHW9I	NULL	2021-12-16 08:47:48	web	我要投保-事件頁	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	e1a55ab802d22056e6959601e18fc93b-_KX88RAJJIHW9I	NULL	2021-12-16 08:47:48	web	日圓貴貴兌換險	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	e1a55ab802d22056e6959601e18fc93b-_KX88RAJJIHW9I	NULL	2021-12-16 08:46:30	web	活動說明	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
